PaymentTypeName,FCRCode,FineractId
AFRMoneyInAmountConversionDeposit,AFR101,4
AFRMoneyInAmountConversionWithdraw,AFR102,5
AFRMoneyInAmountDisposalDeposit,AFR103,6
AFRMoneyOutAmountDisposalWithdraw,AFR203,7
AFRMoneyOutFeeDisposalWithdraw,AFR210,8
AFRMoneyOutAmountConversionDeposit,AFR202,9
AFRMoneyOutFeeConversionDeposit,AFR211,10
AFRMoneyOutAmountConversionWithdraw,AFR201,11
AFRMoneyOutFeeConversionWithdraw,AFR212,12
AFRMoneyOutRevertAmountConversionWithdraw,AFR216,13
AFRMoneyOutRevertFeeConversionWithdraw,AFR218,14
AFRMoneyOutRevertAmountDisposalDeposit,AFR217,15
AFRMoneyOutRevertFeeDisposalDeposit,AFR219,16
IG2MoneyInAmountConversionDeposit,I2G101,17
IG2MoneyInAmountConversionWithdraw,I2G102,18
IG2MoneyInAmountDisposalDeposit,I2G103,19
IG2MoneyOutAmountDisposalWithdraw,I2G203,20
IG2MoneyOutFeeDisposalWithdraw,I2G210,21
IG2MoneyOutAmountConversionDeposit,I2G202,22
IG2MoneyOutFeeConversionDeposit,I2G211,23
IG2MoneyOutAmountConversionWithdraw,I2G201,24
IG2MoneyOutFeeConversionWithdraw,I2G212,25
IG2MoneyOutRevertAmountConversionWithdraw,I2G216,26
IG2MoneyOutRevertFeeConversionWithdraw,I2G218,27
IG2MoneyOutRevertAmountDisposalDeposit,I2G217,28
IG2MoneyOutRevertFeeDisposalDeposit,I2G219,29
ON_USDebtorAmountDisposalWithdraw,EMY001,30
ON_USDebtorFeeDisposalWithdraw,EMY002,31
ON_USCreditorAmountDisposalDeposit,EMY013,32
ON_USDebtorFeeConversionDeposit,EMY014,33
ON_USDebtorFeeConversionWithdraw,EMY008,34
